"Please select County","Vänligen välj land"
"Please select State","Vänligen välj region"
"Price Display Settings","Price Display Settings"
"Priority","Priority"
"Product Tax Class","Momsklass för produkt"
"Product Tax Class Information","Information om produktmomsklass"
"Product Tax Classes","Momsklasser för produkter"
"Range From","Range From"
"Range To","Range To"
"Rate","Rate"
"Rate Percent","Rate Percent"
"Reset","Nollställ"
"Row Total","Row Total"
"Sales","Försäljning"
"Save Class","Spara klass"
"Save Rate","Spara sats"
"Save Rule","Spara regel"
"Save and Continue Edit","Save and Continue Edit"
"Shipping & Handling (Excl.Tax)","Shipping & Handling (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","Shipping & Handling (Incl.Tax)"
"Shipping & Handling Tax","Shipping & Handling Tax"
"Shipping (Excl. Tax)","Shipping (Excl. Tax)"
"Shipping (Incl. Tax)","Shipping (Incl. Tax)"
"Shipping Excl. Tax (%s)","Shipping Excl. Tax (%s)"
"Shipping Incl. Tax (%s)","Shipping Incl. Tax (%s)"
"Shipping Prices","Shipping Prices"
"Shipping prices include tax","Shipping prices include tax"
"Shopping Cart Display Settings","Shopping Cart Display Settings"
"Sort Order","Sort Order"
"State","Stat"
"State/Region","Region"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Excl.Tax)","Subtotal (Excl.Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Tax)"
"Tax","Moms"
"Tax Based On","Tax Based On"
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Momssats"
"Tax Rate Information","Information om momssats"
"Tax Rule Information","Information om momsregler"
"Tax Rules","Momsregler"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","Momsklass har tagits bort"
"Tax class was successfully saved","Momsklass har sparats"
"Tax rate cannot be removed. It exists in tax rule","Tax rate cannot be removed. It exists in tax rule"
"Tax rate was successfully deleted","Momssats har tagits bort"
"Tax rate was successfully imported","Momssats har importerats"
"Tax rate was successfully saved","Momssats har sparats"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Momsregel har tagits bort"
"Tax rule was successfully saved","Momsregel har sparats"
"The tax class has been deleted.","The tax class has been deleted."
"The tax class has been saved.","The tax class has been saved."
"The tax rate has been deleted.","The tax rate has been deleted."
"The tax rate has been imported.","The tax rate has been imported."
"The tax rate has been saved.","The tax rate has been saved."
"The tax rule has been deleted.","The tax rule has been deleted."
"The tax rule has been saved.","The tax rule has been saved."
"This class no longer exists","Denna klass finns inte längre"
"This rule no longer exists","Denna regel finns inte längre"
"This rule no longer exists.","This rule no longer exists."
"Total","Total"
"Unit Price","Unit Price"
"Whether catalog prices entered by admin include tax.","Whether catalog prices entered by admin include tax."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Whether shipping amounts entered by admin or obtained from gateways include tax."
"XML","XML"
"Yes","Yes"
"You cannot delete this tax class as it is used for %d customer groups.","Du kan inte ta bort denna momsklass då den används för %s kundgrupper."
"You cannot delete this tax class as it is used for %d products.","Du kan inte ta bort denna momsklass då den används för %s produkter."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Du kan inte ta bort denna momsklass då den används för existerande momsregler. Du måste först ta bort momsreglerna."
"Zip/Post Code","Postkod"
"Zip/Post is Range","Zip/Post is Range"
