"Shipping","Leverans"
"Shopping Cart","Varukorg"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Show Actual Values","Show Actual Values"
"Show Report","Show Report"
"Show for Current","Visa för nuvarande"
"Specified","Specified"
"Statistics","Statistics"
"Stock Qty","Lagersaldo"
"Submitted In","Skickades i"
"Submitted On","Skickades den"
"Subtotal","Summa (ex.moms)"
"Tag","Etikett"
"Tag ""%s"" details","Detaljer för etiketten ""%s"""
"Tag Detail","Detaljer för etikett"
"Tag Name","Etikettnamn"
"Tag Use","Tag Use"
"Tag use","Etikettanvändning"
"Tags Submitted by %s","Tags Submitted by %s"
"Tags submited by %s","Etiketter skickade av %s"
"Tags submitted to %s","Etiketter skickade till %s"
"Tax","Moms"
"Tax Amount","Moms"
"Title","Titel"
"To","To"
"Total","Totalt"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Total Ordered Report","Total Ordered Report"
"Total Refunded","Återköp totalt"
"Total Refunded Report","Total Refunded Report"
"Total Shipped Report","Total Shipped Report"
"Total Shipping","Leveranser totalt"
"Total Tags","Etiketter totalt"
"Total invoiced","Totalt fakturerat"
"Total refunded","Återköp totalt"
"Updated At","Updated At"
"Updated at","Uppdaterades den"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Visible In","Synlig i"
"Wishlist Report","Rapport för önskelista"
"Wishlist vs. Regular Order","Önskelista vs. vanlig ordning"
"Wishlists","Önskelistor"
"Year","År"
"Year-To-Date Starts","Year-To-Date Starts"
"Yes","Yes"
"Your Recently Compared","Dina nyligen jämförda"
"Your Recently Viewed","Dina nyligen visade"
"undefined","undefined"
